date,high,low,close,change,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2013-11-28,142.65,139.98,141.83,0.013433,146.45,133.8,0.0,208.883611078
2013-11-29,141.65,139.92,141.44,-0.00275,146.45,134.7,0.0,208.883611078
2013-12-02,140.27,136.5,136.78,-0.032947,146.45,134.7,0.0,208.883611078
2013-12-03,137.92,135.34,137.58,0.005849,146.45,135.34,0.0,208.883611078
2013-12-04,139.02,136.57,138.48,0.006542,146.45,135.34,0.0,208.883611078
2013-12-05,138.44,136.95,136.99,-0.01076,146.45,135.34,0.0,208.883611078
2013-12-06,139.1,136.0,138.75,0.012848,146.45,135.34,0.0,208.883611078
2013-12-09,138.7,136.0,137.94,-0.005838,146.45,135.34,0.0,208.883611078
2013-12-10,137.9,136.2,136.95,-0.007177,146.45,135.34,0.0,208.883611078
2013-12-11,137.6,136.17,136.39,-0.004089,145.0,135.34,0.0,208.883611078
2013-12-12,137.34,136.2,136.4,7.3e-05,144.86,135.34,0.0,208.883611078
2013-12-13,137.39,136.22,136.4,0.0,144.86,135.34,0.0,208.883611078
2013-12-16,136.42,132.87,132.97,-0.025147,144.2,132.87,0.0,208.883611078
2013-12-17,134.73,132.4,133.21,0.001805,142.92,132.4,0.0,208.883611078
2013-12-18,133.5,132.31,132.49,-0.005405,142.65,132.31,0.0,208.883611078
2013-12-19,133.4,131.1,131.15,-0.010114,142.65,131.1,0.0,208.883611078
2013-12-20,131.75,126.0,126.65,-0.034312,142.65,126.0,0.0,208.883611078
2013-12-23,127.64,126.12,126.51,-0.001105,142.65,126.0,0.0,208.883611078
2013-12-24,127.7,126.38,126.61,0.00079,142.65,126.0,0.0,208.883611078
2013-12-25,127.37,125.89,126.26,-0.002764,142.65,125.89,0.0,208.883611078
2013-12-26,126.23,124.14,124.74,-0.012039,141.65,124.14,0.0,208.883611078
2013-12-27,127.23,124.74,126.2,0.011704,140.27,124.14,0.0,208.883611078
2013-12-30,126.98,123.99,124.46,-0.013788,139.1,123.99,0.0,208.883611078
2013-12-31,129.31,122.5,128.38,0.031496,139.1,122.5,0.0,208.883611078
2014-01-02,127.99,125.6,125.98,-0.018695,139.1,122.5,0.0,208.883611078
2014-01-03,125.8,123.23,123.98,-0.015876,139.1,122.5,0.0,208.883611078
2014-01-06,124.9,120.7,120.73,-0.026214,138.7,120.7,0.0,208.883611078
2014-01-07,121.35,119.2,120.56,-0.001408,137.9,119.2,0.0,208.883611078
2014-01-08,121.18,118.01,119.4,-0.009622,137.6,118.01,0.0,208.883611078
2014-01-09,121.8,118.6,119.34,-0.000503,137.39,118.01,0.0,208.883611078
2014-01-10,120.43,118.05,119.27,-0.000587,137.39,118.01,0.0,208.883611078
2014-01-13,122.32,119.08,119.89,0.005198,136.42,118.01,0.0,208.883611078
2014-01-14,121.79,118.9,121.31,0.011844,134.73,118.01,0.0,208.883611078
2014-01-15,121.15,118.05,118.76,-0.021021,133.5,118.01,0.0,208.883611078
2014-01-16,122.45,118.74,121.99,0.027198,133.4,118.01,0.0,208.883611078
2014-01-17,122.65,120.12,120.3,-0.013854,131.75,118.01,0.0,208.883611078
2014-01-20,127.3,121.02,126.79,0.053948,129.31,118.01,0.0,208.883611078
2014-01-21,128.71,125.35,126.99,0.001577,129.31,118.01,0.0,208.883611078
2014-01-22,134.81,126.3,134.17,0.05654,134.81,118.01,0.0,208.883611078
2014-01-23,135.4,131.76,134.09,-0.000596,135.4,118.01,1.0,208.759116446
2014-01-24,135.69,132.51,135.5,0.010515,135.69,118.01,1.0,210.954218555
2014-01-27,143.78,134.66,140.75,0.038745,143.78,118.01,1.0,219.127639753
2014-01-28,142.0,137.5,139.22,-0.01087,143.78,118.01,1.0,216.745722309
2014-01-29,141.06,136.49,137.01,-0.015874,143.78,118.01,1.0,213.305100713
2014-01-30,136.95,131.0,132.2,-0.035107,143.78,118.01,1.0,205.816598543
2014-02-07,134.62,131.06,133.89,0.012784,143.78,118.01,1.0,208.447757938
2014-02-10,134.4,130.86,132.86,-0.007693,143.78,118.01,1.0,206.844169337
2014-02-11,135.58,132.1,134.04,0.008882,143.78,118.01,1.0,208.681359249
2014-02-12,134.97,133.31,134.15,0.000821,143.78,118.05,1.0,208.852686644
2014-02-13,138.39,134.01,135.67,0.011331,143.78,118.05,1.0,211.219196437
2014-02-14,143.0,135.39,142.9,0.053291,143.78,118.05,1.0,222.475278634
2014-02-17,150.99,144.1,149.98,0.049545,150.99,118.05,1.0,233.497816314
2014-02-18,149.44,146.12,147.01,-0.019803,150.99,118.05,1.0,228.873859058
2014-02-19,151.98,147.05,149.53,0.017142,151.98,118.74,1.0,232.79721475
2014-02-20,151.58,148.0,148.99,-0.003611,151.98,120.12,1.0,231.956584007
2014-02-21,150.15,147.78,149.08,0.000604,151.98,121.02,1.0,232.096685784
2014-02-24,151.08,145.61,147.62,-0.009793,151.98,125.35,1.0,229.82376294
2014-02-25,148.4,141.0,142.37,-0.035564,151.98,126.3,1.0,221.650310635
2014-02-26,144.98,139.05,142.03,-0.002388,151.98,130.86,1.0,221.121009693
2014-02-27,145.79,140.02,144.95,0.020559,151.98,130.86,1.0,225.667036531
2014-02-28,150.8,144.95,150.02,0.034978,151.98,130.86,1.0,233.560418135
2014-03-03,154.99,148.33,154.93,0.032729,154.99,130.86,1.0,241.20461706
2014-03-04,159.29,152.0,153.4,-0.009875,159.29,130.86,1.0,238.822721467
2014-03-05,159.99,152.0,159.84,0.041982,159.99,130.86,1.0,248.848976959
2014-03-06,162.3,157.0,162.0,0.013514,162.3,130.86,1.0,252.211922034
2014-03-07,167.2,160.04,165.49,0.021543,167.2,130.86,1.0,257.64532347
2014-03-10,165.8,154.03,156.94,-0.051665,167.2,132.1,1.0,244.334077833
2014-03-11,163.6,155.1,162.18,0.033389,167.2,133.31,1.0,252.492148358
