code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600519,2013-12-02,140.010000,140.270000,136.500000,136.780000,-0.032947,4289240.000000,591853929.000000,142002260400.000000,142002260400.000000,0.004131,758.076338,2013-09-30,2013-10-16,10.173398,4.980625,10.437626,3.683518,110.349450
sh600519,2013-11-29,141.000000,141.650000,139.920000,141.440000,-0.002750,2042378.000000,287184360.000000,146840179200.000000,146840179200.000000,0.001967,783.903610,2013-09-30,2013-10-16,10.520001,5.150312,10.793231,3.809014,114.108999
sh600519,2013-11-28,139.980000,142.650000,139.980000,141.830000,0.013433,2224051.000000,315027615.000000,147245069400.000000,147245069400.000000,0.002142,786.065289,2013-09-30,2013-10-16,10.549010,5.164514,10.822994,3.819518,114.423665
sh600519,2013-11-27,139.990000,141.190000,138.600000,139.950000,-0.000214,1567952.000000,219358339.000000,145293291000.000000,145293291000.000000,0.001510,775.646036,2013-09-30,2013-10-16,10.409184,5.096059,10.679536,3.768890,112.906985
sh600519,2013-11-26,140.990000,141.840000,139.780000,139.980000,-0.006741,1640604.000000,230259508.000000,145324436400.000000,145324436400.000000,0.001580,775.812060,2013-09-30,2013-10-16,10.411412,5.097150,10.681822,3.769697,112.931152
sh600519,2013-11-25,137.780000,141.860000,137.520000,140.930000,0.017766,2618102.000000,367831844.000000,146310707400.000000,146310707400.000000,0.002522,781.077302,2013-09-30,2013-10-16,10.482072,5.131743,10.754317,3.795281,113.697588
sh600519,2013-11-22,138.660000,139.350000,137.980000,138.470000,-0.001370,2811090.000000,389528915.000000,143756784600.000000,143756784600.000000,0.002708,767.442911,2013-09-30,2013-10-16,10.299098,5.042164,10.566591,3.729031,111.712896
sh600519,2013-11-21,141.680000,142.290000,138.550000,138.660000,-0.023934,3299198.000000,459524467.000000,143954038800.000000,143954038800.000000,0.003178,768.495750,2013-09-30,2013-10-16,10.313227,5.049081,10.581087,3.734147,111.866153
sh600519,2013-11-20,142.740000,142.920000,141.400000,142.060000,-0.005321,2551780.000000,362889657.000000,147483850800.000000,147483850800.000000,0.002458,787.339945,2013-09-30,2013-10-16,10.566116,5.172889,10.840544,3.825711,114.609210
sh600519,2013-11-19,143.500000,144.200000,141.300000,142.820000,-0.004669,4116683.000000,588099506.000000,148272867600.000000,148272867600.000000,0.003965,791.551792,2013-09-30,2013-10-16,10.622639,5.200561,10.898536,3.846177,115.222308
