code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f,MA_2,MA_20,MA_160
sh600519,2013-05-24,204.0,207.17,200.0,200.93,-0.007459,4507312.0,915894075.0,2.086015074e+11,2.086015074e+11,0.004342,1078.341556,2013-03-31,2013-04-18,14.972851,7.556604,18.343342,5.526921,156.968886,201.28,196.4735,157.4795625
sh600519,2013-05-23,199.6,206.49,199.6,202.44,0.014889,6224745.0,1272531720.0,2.101691592e+11,2.101691592e+11,0.005996,1086.445352,2013-03-31,2013-04-18,15.085373,7.613392,18.481193,5.568456,158.148515,201.685,197.1035,157.9929375
sh600519,2013-05-22,195.65,200.6,195.1,199.47,0.022818,4614964.0,917905229.0,2.070857646e+11,2.070857646e+11,0.004445,1070.50658,2013-03-31,2013-04-18,14.864062,7.501699,18.210064,5.486763,155.828387,200.955,197.796,158.4771875
sh600519,2013-05-21,194.88,195.76,193.51,195.02,0.000103,2310234.0,449227066.0,2.024658636e+11,2.024658636e+11,0.002225,1046.624697,2013-03-31,2013-04-18,14.53246,7.334344,17.803816,5.364359,152.352018,197.245,197.9885,158.9538125
sh600519,2013-05-20,196.8,198.48,194.45,195.0,-0.004645,3094406.0,605797988.0,2.024451e+11,2.024451e+11,0.002981,1046.516906,2013-03-31,2013-04-18,14.530964,7.333589,17.801982,5.363807,152.336328,195.01,198.1515,159.414375
sh600519,2013-05-17,194.08,196.45,193.0,195.91,0.00544,3355672.0,654713526.0,2.033898438e+11,2.033898438e+11,0.003232,1051.400662,2013-03-31,2013-04-18,14.598775,7.367812,17.885059,5.388838,153.047232,195.455,198.2055,159.8895
sh600519,2013-05-16,194.01,200.51,192.0,194.85,0.000976,4546227.0,893376381.0,2.02289373e+11,2.02289373e+11,0.004379,1045.711989,2013-03-31,2013-04-18,14.519787,7.327948,17.78829,5.359681,152.21916,195.38,198.3655,160.361875
sh600519,2013-05-15,190.88,196.66,190.72,194.66,0.018149,2326440.0,452499708.0,2.020921188e+11,2.020921188e+11,0.002241,1044.692369,2013-03-31,2013-04-18,14.50563,7.320803,17.770946,5.354455,152.070739,194.755,198.6245,160.832625
sh600519,2013-05-14,196.1,197.1,190.01,191.19,-0.032831,3643160.0,701153965.0,1.984896342e+11,1.984896342e+11,0.003509,1026.070221,2013-03-31,2013-04-18,14.24706,7.190306,17.45417,5.25901,149.360004,192.925,198.483,161.2813125
sh600519,2013-05-13,197.11,201.6,193.77,197.68,0.002892,3257904.0,645155894.0,2.052274224e+11,2.052274224e+11,0.003138,1060.90065,2013-03-31,2013-04-18,14.730683,7.434384,18.04666,5.437529,154.430099,194.435,198.6315,161.7633125
